?	unspecified (?)
AmoebaDB-29_AastronyxisUnknown_Genome	AmoebaDB-29_AastronyxisUnknown_Genome
AmoebaDB-29_AcastellaniiMa_Genome	AmoebaDB-29_AcastellaniiMa_Genome
AmoebaDB-29_AcastellaniiNeff_Genome	AmoebaDB-29_AcastellaniiNeff_Genome
AmoebaDB-29_AculbertsoniA1_Genome	AmoebaDB-29_AculbertsoniA1_Genome
AmoebaDB-29_AlenticulataPD2S_Genome	AmoebaDB-29_AlenticulataPD2S_Genome
AmoebaDB-29_AlugdunensisL3a_Genome	AmoebaDB-29_AlugdunensisL3a_Genome
AmoebaDB-29_Amauritaniensis1652_Genome	AmoebaDB-29_Amauritaniensis1652_Genome
AmoebaDB-29_ApalestinensisReich_Genome	AmoebaDB-29_ApalestinensisReich_Genome
AmoebaDB-29_AquinaVil3_Genome	AmoebaDB-29_AquinaVil3_Genome
AmoebaDB-29_ArhysodesSingh_Genome	AmoebaDB-29_ArhysodesSingh_Genome
AmoebaDB-29_AspGalka_Genome	AmoebaDB-29_AspGalka_Genome
AmoebaDB-29_AspIncertaesedis_Genome	AmoebaDB-29_AspIncertaesedis_Genome
AmoebaDB-29_AspT4b-type_Genome	AmoebaDB-29_AspT4b-type_Genome
AmoebaDB-29_AtriangularisSH621_Genome	AmoebaDB-29_AtriangularisSH621_Genome
AmoebaDB-29_EdisparSAW760_Genome	AmoebaDB-29_EdisparSAW760_Genome
AmoebaDB-29_EhistolyticaDS4_Genome	AmoebaDB-29_EhistolyticaDS4_Genome
AmoebaDB-29_EhistolyticaHM1CA_Genome	AmoebaDB-29_EhistolyticaHM1CA_Genome
AmoebaDB-29_EhistolyticaHM1IMSS-A_Genome	AmoebaDB-29_EhistolyticaHM1IMSS-A_Genome
AmoebaDB-29_EhistolyticaHM1IMSS-B_Genome	AmoebaDB-29_EhistolyticaHM1IMSS-B_Genome
AmoebaDB-29_EhistolyticaHM1IMSS_Genome	AmoebaDB-29_EhistolyticaHM1IMSS_Genome
AmoebaDB-29_EhistolyticaHM3IMSS_Genome	AmoebaDB-29_EhistolyticaHM3IMSS_Genome
AmoebaDB-29_EhistolyticaKU27_Genome	AmoebaDB-29_EhistolyticaKU27_Genome
AmoebaDB-29_EhistolyticaKU48_Genome	AmoebaDB-29_EhistolyticaKU48_Genome
AmoebaDB-29_EhistolyticaKU50_Genome	AmoebaDB-29_EhistolyticaKU50_Genome
AmoebaDB-29_EhistolyticaMS96_Genome	AmoebaDB-29_EhistolyticaMS96_Genome
AmoebaDB-29_EhistolyticaRahman_Genome	AmoebaDB-29_EhistolyticaRahman_Genome
AmoebaDB-29_EinvadensIP1_Genome	AmoebaDB-29_EinvadensIP1_Genome
AmoebaDB-29_EmoshkovskiiLaredo_Genome	AmoebaDB-29_EmoshkovskiiLaredo_Genome
AmoebaDB-29_EnuttalliP19_Genome	AmoebaDB-29_EnuttalliP19_Genome
AmoebaDB-29_NfowleriATCC30863_Genome	AmoebaDB-29_NfowleriATCC30863_Genome
CryptoDB-29_CbaileyiTAMU-09Q1_Genome	CryptoDB-29_CbaileyiTAMU-09Q1_Genome
CryptoDB-29_Chominis37999_Genome	CryptoDB-29_Chominis37999_Genome
CryptoDB-29_ChominisTU502_Genome	CryptoDB-29_ChominisTU502_Genome
CryptoDB-29_ChominisTU502_new_Genome	CryptoDB-29_ChominisTU502_new_Genome
CryptoDB-29_ChominisUKH1_Genome	CryptoDB-29_ChominisUKH1_Genome
CryptoDB-29_CmurisRN66_Genome	CryptoDB-29_CmurisRN66_Genome
CryptoDB-29_CveliaCCMP2878_Genome	CryptoDB-29_CveliaCCMP2878_Genome
CryptoDB-29_GniphandrodesUnknown_Genome	CryptoDB-29_GniphandrodesUnknown_Genome
CryptoDB-29_VbrassicaformisCCMP3155_Genome	CryptoDB-29_VbrassicaformisCCMP3155_Genome
CryptoDB-30_ChominisUdeA01_Genome	CryptoDB-30_ChominisUdeA01_Genome
CryptoDB-31_Cubiquitum39726_Genome	CryptoDB-31_Cubiquitum39726_Genome
CryptoDB-32_ChominisTU502_2012_Genome	CryptoDB-32_ChominisTU502_2012_Genome
CryptoDB-36_Chominis30976_Genome	CryptoDB-36_Chominis30976_Genome
CryptoDB-36_CtyzzeriUGA55_Genome	CryptoDB-36_CtyzzeriUGA55_Genome
CryptoDB-37_CmeleagridisUKMEL1_Genome	CryptoDB-37_CmeleagridisUKMEL1_Genome
CryptoDB-37_CparvumIowaII_Genome	CryptoDB-37_CparvumIowaII_Genome
CryptoDB-46_CparvumIOWA-ATCC_Genome	CryptoDB-46_CparvumIOWA-ATCC_Genome
FungiDB-29_AastaciAPO3_Genome	FungiDB-29_AastaciAPO3_Genome
