type		NYS Code	Octal Code		SpoDB3 -Most probable family	Random-Initalized -Most probable family
0		S00000	000000000000000		M. canettii
451		S00001	777777477760771		M. tuberculosis H37Rv	Family N24
53		S00002	777777777760771		M. tuberculosis T1	Family N24
119		S00003	777776777760771		M. tuberculosis X1	Family N44
490		S00004	767776777760771		M. tuberculosis X1	Family N44
50		S00005	777777777720771		M. tuberculosis Haarlem3	Family N24
352		S00006	777776777760711		M. tuberculosis X1	Family N44
na		S00007	777736777760731		M. tuberculosis X1	Family N44
439		S00008	777376777760601		M. tuberculosis X2	Family N6
137		S00009	777776777760601		M. tuberculosis X2	Family N6
na		S00010	777777677723600		Family33	Family N13
194		S00011	677737607760731		M. tuberculosis LAM2	Family N19
459		S00012	777777777410331		M. tuberculosis EAI5	Family N14
na		S00013	777777767400071		M. tuberculosis Haarlem3	Family N34
776		S00014	777777777410771		M. tuberculosis EAI5	Family N14
236		S00015	777777777413771		M. tuberculosis EAI5	Family N14
48		S00016	777777777413731		Family33	Family N33
458		S00017	777777777403771		M. tuberculosis EAI5	Family N14
517		S00018	777777777413711		M. tuberculosis EAI5	Family N14
139		S00019	777777774413771		M. tuberculosis EAI4	Family N14
na		S00020	777777775413700		M. tuberculosis EAI5	Family N14
na		S00021	774177677413771		M. tuberculosis EAI5	Family N14
1395		S00022	474377767413771		M. tuberculosis EAI5	Family N47
na		S00023	777777777600011		M. tuberculosis T2	Family N23
na		S00024	774057607777071		M. africanum	Family N17
482		S00025	676773777777600		M. bovis-BCG	Family N7
181		S00026	770777777777671		M. africanum	Family N18
202		S00027	701776777760601		M. tuberculosis X2	Family N6
91		S00028	700036777760771		M. tuberculosis X3	Family N20
92		S00029	700076777760771		M. tuberculosis X3	Family N20
197		S00030	700036777760731		M. tuberculosis X3	Family N20
546		S00031	700036777560771		M. tuberculosis X3	Family N20
200		S00032	700076777760700		M. tuberculosis X3	Family N20
na		S00033	700036007760771		M. tuberculosis X3	Family N20
1		S00034	000000000003771		M. tuberculosis Beijing	Family N3
52		S00035	777777777760731		M. tuberculosis T1	Family N24
135		S00036	777777777760730		M. tuberculosis T1	Family N24
na		S00037	700377707776671		M. africanum	Family N18
420		S00038	637774777760730		M. tuberculosis X1	Family N44
437		S00039	774077777775071		M. africanum	Family N17
438		S00040	774077777777071		M. africanum	Family N17
na		S00041	770757777767671		M. africanum	Family N18
na		S00042	770637777767671		M. africanum	Family N18
187		S00043	770777777767671		M. africanum	Family N18
326		S00044	770777707777671		M. africanum	Family N18
new		S00045	774677607777071		M. africanum	Family N13
331		S00046	774077607777071		M. africanum	Family N17
new		S00047	777777717760571		M. tuberculosis T1	Family N24
336		S00048	777776777760731		M. tuberculosis X1	Family N44
408		S00049	157756777760771		M. tuberculosis X1	Family N44
210		S00050	776037777760771		M. tuberculosis S	Family N39
new		S00051	676537777777600		M. bovis-BCG	Family N7
new		S00052	677773777777600		Family33	Family N7
456		S00053	777777774413711		M. tuberculosis EAI4	Family N14
551		S00054	737777777760610		M. tuberculosis T2	Family N30
239		S00055	777777777760031		M. tuberculosis T1	Family N24
518		S00056	777777777660031		M. tuberculosis T1	Family N24
411		S00057	407777777760771		M. tuberculosis T1	Family N24
216		S00058	777717607760771		M. tuberculosis LAM9	Family N19
554		S00059	757700777760771		M. tuberculosis X1	Family N44
576		S00060	777776777360771		M. tuberculosis X1	Family N44
new		S00061	776776777360771		M. tuberculosis X1	Family N44
219		S00062	777740777760771		M. tuberculosis X1	Family N44
217		S00063	777736777760771		M. tuberculosis X1	Family N44
899		S00064	670000777760771		M. tuberculosis T3	Family N28
431		S00065	717777774020771		M. tuberculosis Haarlem1	Family N5
435		S00066	763777607760771		M. tuberculosis LAM9	Family N19
419		S00067	630000207760771		M. tuberculosis T3	Family N32
