Start	Stop	Length
103706	105076	1371
149572	149762	191
177055	177175	121
309030	309532	503
309899	310101	203
332699	333610	912
335829	336275	447
339373	339875	503
675486	675612	127
838486	838926	441
840739	841665	927
889020	890376	1357
908181	909346	1166
921580	921893	314
960175	960327	153
1157963	1165549	7587
1169298	1170733	1436
1190000	1190120	121
1191724	1191844	121
1275925	1276053	129
1276293	1278820	2528
1287355	1288094	740
1339350	1342730	3381
1357423	1357613	191
1451778	1451998	221
1468166	1469616	1451
1532540	1533653	1114
1541949	1543318	1370
1702677	1702843	167
1766987	1789811	22825
1814853	1815128	276
1876112	1876668	557
1946849	1947023	175
1963420	1964160	741
1987702	1989059	1358
1996099	1997463	1365
2000927	2001056	130
2030332	2030983	652
2062007	2062263	257
2195857	2197360	1504
2198687	2198815	129
2299556	2300118	563
2305625	2306187	563
2347391	2347613	223
2365404	2366769	1366
2430115	2431473	1359
2550006	2551370	1365
2625886	2626683	798
2635575	2636932	1358
2637164	2637535	372
2784614	2785977	1364
2828494	2829929	1436
2970063	2983874	13812
2996010	2996155	146
3100175	3100487	313
3116388	3117192	805
3120518	3121880	1363
3155883	3156088	206
3192204	3192352	149
3194138	3194451	314
3232653	3232865	213
3333758	3334070	313
3381312	3382748	1437
3481325	3482760	1436
3483946	3485111	1166
3551230	3552585	1356
3552709	3554070	1362
3710381	3711737	1357
3795055	3796416	1362
3802130	3802389	260
3847717	3847892	176
3883550	3884921	1372
3890778	3892134	1357
3894406	3895519	1114
4053632	4053994	363
4059984	4060591	608
4215915	4216724	810
4252882	4254332	1451
4288136	4288256	121
4301543	4301691	149
