Ensembl Gene ID	Ensembl Transcript ID	CDS Length
ENSG00000198888	ENST00000361390	956
ENSG00000198763	ENST00000361453	1042
ENSG00000198804	ENST00000361624	1542
ENSG00000198712	ENST00000361739	684
ENSG00000228253	ENST00000361851	207
ENSG00000198899	ENST00000361899	681
ENSG00000198938	ENST00000362079	784
ENSG00000198840	ENST00000361227	346
ENSG00000212907	ENST00000361335	297
ENSG00000198886	ENST00000361381	1378
ENSG00000198786	ENST00000361567	1812
ENSG00000198695	ENST00000361681	525
ENSG00000198727	ENST00000361789	1141
ENSG00000259662	ENST00000539570	744
ENSG00000258865	ENST00000510508	915
ENSG00000269323	ENST00000599697	2976
ENSG00000255738	ENST00000381700	354
ENSG00000258664	ENST00000553856	396
ENSG00000269434	ENST00000600108	1404
ENSG00000258518	ENST00000483851	960
ENSG00000259741	ENST00000558098	1707
ENSG00000265969	ENST00000292095	1206
ENSG00000262355	ENST00000305831	1890
ENSG00000269541	ENST00000594964	1410
ENSG00000269222	ENST00000599224	489
ENSG00000269739	ENST00000599122	3957
ENSG00000268187	ENST00000599370	651
ENSG00000268187	ENST00000601550	651
ENSG00000268843	ENST00000598683	648
ENSG00000268025	ENST00000597845	648
ENSG00000268248	ENST00000594697	648
ENSG00000269764	ENST00000599140	648
ENSG00000263064	ENST00000572446	729
ENSG00000262909	ENST00000577997	168
ENSG00000262909	ENST00000581389	207
ENSG00000262909	ENST00000573633	2247
ENSG00000262909	ENST00000582525	1684
ENSG00000262840	ENST00000577057	2350
ENSG00000262840	ENST00000585473	9279
ENSG00000262840	ENST00000572203	165
ENSG00000262840	ENST00000575370	2214
ENSG00000262840	ENST00000589525	2040
ENSG00000262840	ENST00000570568	6948
ENSG00000262840	ENST00000570313	2355
ENSG00000262840	ENST00000574833	1374
ENSG00000263185	ENST00000571438	3405
ENSG00000263185	ENST00000580932	3384
ENSG00000263185	ENST00000580023	3384
ENSG00000263185	ENST00000584935	1880
ENSG00000263185	ENST00000580801	157
ENSG00000263185	ENST00000579464	128
ENSG00000262199	ENST00000581317	3654
ENSG00000262199	ENST00000570888	3552
ENSG00000262199	ENST00000575448	2785
ENSG00000262199	ENST00000580397	1421
ENSG00000262705	ENST00000576146	504
ENSG00000160551	ENST00000583121	238
ENSG00000160551	ENST00000261716	3006
ENSG00000160551	ENST00000536202	2562
ENSG00000164825	ENST00000297439	207
ENSG00000164822	ENST00000297436	303
ENSG00000164821	ENST00000297435	294
ENSG00000206047	ENST00000382692	285
ENSG00000206047	ENST00000382679	285
ENSG00000240247	ENST00000382689	285
ENSG00000240247	ENST00000535841	285
ENSG00000239839	ENST00000327857	285
ENSG00000164816	ENST00000330590	285
ENSG00000215372	ENST00000400156	903
ENSG00000215372	ENST00000400078	903
ENSG00000177257	ENST00000318157	195
ENSG00000177243	ENST00000318124	204
ENSG00000164871	ENST00000528943	321
ENSG00000164871	ENST00000528767	162
ENSG00000164871	ENST00000359758	327
ENSG00000164871	ENST00000361111	249
ENSG00000164871	ENST00000297498	312
ENSG00000164871	ENST00000458665	243
ENSG00000164871	ENST00000528168	153
ENSG00000164871	ENST00000398462	402
ENSG00000164871	ENST00000317900	342
ENSG00000177023	ENST00000316169	219
ENSG00000055955	ENST00000266041	2793
ENSG00000055955	ENST00000485816	2808
ENSG00000055955	ENST00000406595	2703
ENSG00000055955	ENST00000441637	2158
ENSG00000055955	ENST00000346281	2745
ENSG00000055955	ENST00000434759	1683
ENSG00000187082	ENST00000335479	198
ENSG00000186599	ENST00000335510	237
ENSG00000198129	ENST00000355602	213
ENSG00000255251	ENST00000533250	840
ENSG00000255378	ENST00000528972	840
ENSG00000186572	ENST00000335021	213
ENSG00000186562	ENST00000334773	237
ENSG00000186579	ENST00000335186	198
ENSG00000176782	ENST00000314265	219
ENSG00000178287	ENST00000400125	342
ENSG00000178287	ENST00000434307	312
ENSG00000178287	ENST00000326558	327
ENSG00000178287	ENST00000351436	249
ENSG00000178287	ENST00000528033	320
ENSG00000178287	ENST00000525884	162
ENSG00000178287	ENST00000454911	153
ENSG00000178287	ENST00000326625	243
ENSG00000176797	ENST00000314357	204
ENSG00000171711	ENST00000302247	195
ENSG00000215356	ENST00000400120	903
ENSG00000215356	ENST00000443676	903
ENSG00000268955	ENST00000594215	174
ENSG00000182319	ENST00000520004	4209
ENSG00000182319	ENST00000330777	4209
ENSG00000253958	ENST00000519106	879
ENSG00000147324	ENST00000276282	3159
ENSG00000104626	ENST00000523898	1050
ENSG00000104626	ENST00000519292	1050
ENSG00000104626	ENST00000521844	135
ENSG00000104626	ENST00000520684	300
ENSG00000104626	ENST00000250263	1050
ENSG00000105676	ENST00000392335	1431
ENSG00000105676	ENST00000535612	1506
ENSG00000105676	ENST00000537263	770
ENSG00000105676	ENST00000540707	90
ENSG00000105676	ENST00000541725	490
ENSG00000105676	ENST00000269932	1431
ENSG00000105676	ENST00000546344	1227
ENSG00000105676	ENST00000540792	485
ENSG00000105676	ENST00000536098	212
ENSG00000105676	ENST00000541898	778
ENSG00000105676	ENST00000539985	144
ENSG00000105676	ENST00000543877	191
ENSG00000105676	ENST00000545091	132
ENSG00000105676	ENST00000535288	469
ENSG00000105676	ENST00000545190	541
ENSG00000105676	ENST00000538663	311
ENSG00000105676	ENST00000392336	1506
ENSG00000105676	ENST00000535758	213
ENSG00000105676	ENST00000535478	436
ENSG00000105676	ENST00000535795	412
ENSG00000105676	ENST00000540634	244
